%time,field.header.seq,field.header.stamp,field.header.frame_id,field.set_point,field.process_value,field.process_value_dot,field.error,field.time_step,field.command,field.p,field.i,field.d,field.i_clamp,field.antiwindup
47951000000,4779,47944000000,,0.0,-0.00027125233547309335,-0.18083506516898226,0.00027125233547309335,0.001,0.0,0.0,0.0,0.0,0.0,0
47954000000,4780,47954000000,,0.0,-0.007052460031147234,-1.0849773552813908,0.007052460031147234,0.001,0.0,0.0,0.0,0.0,0.0,0
47964000000,4781,47964000000,,0.0,-0.02287417929706237,-1.9889161357691882,0.02287417929706237,0.001,0.0,0.0,0.0,0.0,0.0,0
47974000000,4782,47974000000,,0.0,-0.04773241936785588,-2.8922497726469643,0.04773241936785588,0.001,0.0,0.0,0.0,0.0,0.0,0
47984000000,4783,47984000000,,0.0,-0.08161709290966357,-3.7941721024038397,0.08161709290966357,0.001,0.0,0.0,0.0,0.0,0.0,0
47994000000,4784,47994000000,,0.0,-0.1245069823499918,-4.693293042095797,0.1245069823499918,0.001,0.0,0.0,0.0,0.0,0.0,0
48004000000,4785,48004000000,,0.0,-0.17636294053690627,-5.587465507590198,0.17636294053690627,0.001,0.0,0.0,0.0,0.0,0.0,0
48014000000,4786,48014000000,,0.0,-0.2371194338976057,-6.473627096537815,0.2371194338976057,0.001,0.0,0.0,0.0,0.0,0.0,0
48024000000,4787,48024000000,,0.0,-0.30667463678588014,-7.347668209418538,0.30667463678588014,0.001,0.0,0.0,0.0,0.0,0.0,0
48034000000,4788,48034000000,,0.0,-0.38487942295615696,-8.204341867011971,0.38487942295615696,0.001,0.0,0.0,0.0,0.0,0.0,0
48044000000,4789,48044000000,,0.0,-0.47152576641403776,-9.037233002802054,0.47152576641403776,0.001,0.0,0.0,0.0,0.0,0.0,0
48054000000,4790,48054000000,,0.0,-0.5663352764558329,-9.838812753888446,0.5663352764558329,0.001,0.0,0.0,0.0,0.0,0.0,0
48064000000,4791,48064000000,,0.0,-0.6689488910877852,-10.600607705716742,0.6689488910877852,0.001,0.0,0.0,0.0,0.0,0.0,0
48074000000,4792,48074000000,,0.0,-0.7789189157961438,-11.313485805674908,0.7789189157961438,0.001,0.0,0.0,0.0,0.0,0.0,0
48084000000,4793,48084000000,,0.0,-0.8957045206384162,-11.968051022171675,0.8957045206384162,0.001,0.0,0.0,0.0,0.0,0.0,0
48094000000,4794,48094000000,,0.0,-1.018671773265888,-12.55514615279299,1.018671773265888,0.001,0.0,0.0,0.0,0.0,0.0,0
48104000000,4795,48104000000,,0.0,-1.1470993084993157,-13.06646361123483,1.1470993084993157,0.001,0.0,0.0,0.0,0.0,0.0,0
48114000000,4796,48114000000,,0.0,-1.2801904385368967,-13.495183618965445,1.2801904385368967,0.001,0.0,0.0,0.0,0.0,0.0,0
48124000000,4797,48124000000,,0.0,-1.4170898301944437,-13.836223601169053,1.4170898301944437,0.001,0.0,0.0,0.0,0.0,0.0,0
48134000000,4798,48134000000,,0.0,-1.5569010862280805,-14.086285765246283,1.5569010862280805,0.001,0.0,0.0,0.0,0.0,0.0,0
48144000000,4799,48144000000,,0.0,-1.5705748082613402,0.05312931687777207,1.5705748082613402,0.001,0.0,0.0,0.0,0.0,0.0,0
48154000000,4800,48154000000,,0.0,-1.5698747939760525,0.091590373579891,1.5698747939760525,0.001,0.0,0.0,0.0,0.0,0.0,0
48164000000,4801,48164000000,,0.0,-1.5685197895500362,0.17769874331401955,1.5685197895500362,0.001,0.0,0.0,0.0,0.0,0.0,0
48174000000,4802,48174000000,,0.0,-1.566102365988625,0.2981747752905272,1.566102365988625,0.001,0.0,0.0,0.0,0.0,0.0,0
48184000000,4803,48184000000,,0.0,-1.5623594536370007,0.4385628999718892,1.5623594536370007,0.001,0.0,0.0,0.0,0.0,0.0,0
48194000000,4804,48194000000,,0.0,-1.5571605768741863,0.5868885671846309,1.5571605768741863,0.001,0.0,0.0,0.0,0.0,0.0,0
48204000000,4805,48204000000,,0.0,-1.5504753680949594,0.734787566491073,1.5504753680949594,0.001,0.0,0.0,0.0,0.0,0.0,0
48214000000,4806,48214000000,,0.0,-1.542338346411288,0.8771909393869268,1.542338346411288,0.001,0.0,0.0,0.0,0.0,0.0,0
48224000000,4807,48224000000,,0.0,-1.5328207794588113,1.0114204005348097,1.5328207794588113,0.001,0.0,0.0,0.0,0.0,0.0,0
48234000000,4808,48234000000,,0.0,-1.5220117480481985,1.1363138769426568,1.5220117480481985,0.001,0.0,0.0,0.0,0.0,0.0,0
