%time,field.header.seq,field.header.stamp,field.header.frame_id,field.name0,field.name1,field.name2,field.position0,field.position1,field.position2,field.velocity0,field.velocity1,field.velocity2,field.effort0,field.effort1,field.effort2
12136000000,11902,12133000000,,base_to_link1,link1_to_link2,link2_to_link3,0.0,0.0,0.0,2.859540799408495e-15,2.088059529617438e-14,1.7238589520278732e-15,0.0,0.0,0.0
12136000000,11903,12134000000,,base_to_link1,link1_to_link2,link2_to_link3,-9.041727056668947e-05,1.464532251027606e-06,-1.6449846391708434e-06,-0.09041727041005077,0.0014643310854984797,-0.001644983957392502,0.0,0.0,0.0
12136000000,11904,12135000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.0002576638288012134,-2.594034181235827e-06,3.465729784934979e-06,-0.16724655850846015,-0.004057998053195125,0.005110711156249949,0.09132153368962694,-0.0014791790380701332,0.001661436130547191
12136000000,11905,12136000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.0004912139329800169,-1.611964654113507e-05,1.7535995083584055e-05,-0.2335501053278546,-0.013525907921613194,0.014070267484987837,0.16982354460363544,0.004084507903577722,-0.005145373542700318
12137000000,11906,12137000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.0007824586926208354,-4.157598783915972e-05,4.020951537420103e-05,-0.29124476175156594,-0.02545637760750056,0.022673520737571756,0.23846308280363604,0.013686826074459063,-0.014245644606225146
12138000000,11907,12138000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.0011241269748278881,-8.065137734813987e-05,7.016382264080079e-05,-0.34166828547922756,-0.039075385552128764,0.029954307306060055,0.29907096832075186,0.025872160001552562,-0.023075675010614593
12139000000,11908,12139000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.00150996693196781,-0.00013459078879929365,0.00010579959235723635,-0.3858399617641189,-0.053939387768037285,0.035635769846904614,0.3529122978360314,0.03988204275897521,-0.03065607522308601
12140000000,11909,12140000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.0019345514848421175,-0.00020435546496688772,0.00014552858681504688,-0.4245845589685537,-0.06976463699710952,0.039728994845471675,0.40094388230723166,0.05528559340644917,-0.036694001169678525
12141000000,11910,12141000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.0023931455729258033,-0.00029070507038664317,0.0001878852606642667,-0.4585940957064609,-0.08634955285002349,0.04235667455262959,0.4439362581218453,0.07180870924003038,-0.04118466138421841
12142000000,11911,12142000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.00288160668591253,-0.0003942437734094639,0.00023156176479144364,-0.4884611221471903,-0.10353863823900022,0.0436765051985708,0.4825341273576334,0.08925742525145969,-0.044236095399380566
12143000000,11912,12143000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.0033963052225782775,-0.000515449066779361,0.00027541065675240617,-0.5146985473369621,-0.12120521741870369,0.04384889343933651,0.5172886449972274,0.10748230412852662,-0.04599292228037425
