%time,field.header.seq,field.header.stamp,field.header.frame_id,field.set_point,field.process_value,field.process_value_dot,field.error,field.time_step,field.command,field.p,field.i,field.d,field.i_clamp,field.antiwindup
18342000000,1817,18337000000,,0.0,4.020941670912492e-05,0.02267345954213278,-4.020941670912492e-05,0.001,-0.02307555326221511,10.0,0.0,1.0,0.0,0
18347000000,1818,18347000000,,-1.6201578504096181,-0.0865841184504701,-11.80216741830026,-1.533573731959148,0.001,-3.533659622720897,10.0,0.0,1.0,0.0,0
18357000000,1819,18357000000,,-1.6201578504096181,-0.20089722875851646,-11.066803703315424,-1.4192606216511017,0.001,-3.1259542254565176,10.0,0.0,1.0,0.0,0
18367000000,1820,18367000000,,-1.6201578504096181,-0.30959419042801617,-10.683700483180516,-1.310563659981602,0.001,-2.4221546676114336,10.0,0.0,1.0,0.0,0
18377000000,1821,18377000000,,-1.6201578504096181,-0.4136115436955121,-10.158073279727825,-1.206546306714106,0.001,-1.9076532150628012,10.0,0.0,1.0,0.0,0
18387000000,1822,18387000000,,-1.6201578504096181,-0.5120599664430499,-9.586674094557628,-1.1080978839665683,0.001,-1.4945976846980003,10.0,0.0,1.0,0.0,0
18397000000,1823,18397000000,,-1.6201578504096181,-0.60475398638195,-9.011075379146032,-1.0154038640276681,0.001,-1.1432725780621666,10.0,0.0,1.0,0.0,0
18407000000,1824,18407000000,,-1.6201578504096181,-0.6917363653876221,-8.444834385091344,-0.9284214850219961,0.001,-0.8396933045005639,10.0,0.0,1.0,0.0,0
18417000000,1825,18417000000,,-1.6201578504096181,-0.7731396530019952,-7.894490076649582,-0.847018197407623,0.001,-0.5759961523605917,10.0,0.0,1.0,0.0,0
18427000000,1826,18427000000,,-1.6201578504096181,-0.8491469079004146,-7.364129624458858,-0.7710109425092035,0.001,-0.3462651451343035,10.0,0.0,1.0,0.0,0
18437000000,1827,18437000000,,-1.6201578504096181,-0.9199724433767456,-6.856114332392323,-0.7001854070328726,0.001,-0.145998358288999,10.0,0.0,1.0,0.0,0
18447000000,1828,18447000000,,-1.6201578504096181,-0.9858448565422799,-6.371120678979887,-0.6343129938673382,0.001,0.027763898605019932,10.0,0.0,1.0,0.0,0
18457000000,1829,18457000000,,-1.6201578504096181,-1.0453231336560096,-4.226177128002041,-0.5748347167536085,0.001,-1.5079647879953662,10.0,0.0,1.0,0.0,0
18467000000,1830,18467000000,,-1.6201578504096181,-1.0851966633943286,-4.102097159016676,-0.5349611870152895,0.001,-1.246959179441145,10.0,0.0,1.0,0.0,0
18477000000,1831,18477000000,,-1.6201578504096181,-1.1244859281193245,-3.766858805150354,-0.49567192229029367,0.001,-1.1898509643403976,10.0,0.0,1.0,0.0,0
18487000000,1832,18487000000,,-1.6201578504096181,-1.1606884635349752,-3.5248674247560015,-0.4594693868746429,0.001,-1.0698379025590832,10.0,0.0,1.0,0.0,0
18497000000,1833,18497000000,,-1.6201578504096181,-1.1952586145573632,-3.4045220507840983,-0.424899235852255,0.001,-0.8444799733964814,10.0,0.0,1.0,0.0,0
18507000000,1834,18507000000,,-1.6201578504096181,-1.2285895615986062,-3.2710870864462622,-0.3915682888110119,0.001,-0.6446081515111857,10.0,0.0,1.0,0.0,0
18517000000,1835,18517000000,,-1.6201578504096181,-1.2604626311793483,-3.115961267007259,-0.3596952192302698,0.001,-0.4810049190266774,10.0,0.0,1.0,0.0,0
18527000000,1836,18527000000,,-1.6201578504096181,-1.290693492421446,-2.945257605838459,-0.3294643579881722,0.001,-0.34940050763452746,10.0,0.0,1.0,0.0,0
18537000000,1837,18537000000,,-1.6201578504096181,-1.3191595722726541,-2.764851973993226,-0.300998278136964,0.001,-0.24514491829917162,10.0,0.0,1.0,0.0,0
18547000000,1838,18547000000,,-1.6201578504096181,-1.3457908132062135,-2.5794716957212485,-0.2743670372034046,0.001,-0.16421164361801743,10.0,0.0,1.0,0.0,0
18557000000,1839,18557000000,,-1.6201578504096181,-1.3705583958649177,-2.3927750679787367,-0.24959945454470045,0.001,-0.1032308468595744,10.0,0.0,1.0,0.0,0
18567000000,1840,18567000000,,-1.6201578504096181,-1.393465166223094,-2.207559543899671,-0.22669268418652422,0.001,-0.05937685953149696,10.0,0.0,1.0,0.0,0
18577000000,1841,18577000000,,-1.6201578504096181,-1.4145381968137523,-2.025970841745777,-0.20561965359586587,0.001,-0.030233434932451786,10.0,0.0,1.0,0.0,0
18587000000,1842,18587000000,,-1.6201578504096181,-1.4338232669741027,-1.849677901865153,-0.18633458343551546,0.001,-0.01367397956292038,10.0,0.0,1.0,0.0,0
18597000000,1843,18597000000,,-1.6201578504096181,-1.451380850580617,-1.6800033494951072,-0.16877699982900118,0.001,-0.007771214586060893,10.0,0.0,1.0,0.0,0
18607000000,1844,18607000000,,-1.6201578504096181,-1.4672831666458892,-1.5180107682712514,-0.15287468376372892,0.001,-0.0107394045530107,10.0,0.0,1.0,0.0,0
18617000000,1845,18617000000,,-1.6201578504096181,-1.481611897374079,-1.3645560117874584,-0.13854595303553907,0.001,-0.020905876657693057,10.0,0.0,1.0,0.0,0
18627000000,1846,18627000000,,-1.6201578504096181,-1.4944562662832181,-1.2203122257973027,-0.12570158412639998,0.001,-0.03670522920881325,10.0,0.0,1.0,0.0,0
18637000000,1847,18637000000,,-1.6201578504096181,-1.5059112684751694,-1.0857784880117798,-0.1142465819344487,0.001,-0.05668839970493167,10.0,0.0,1.0,0.0,0
18647000000,1848,18647000000,,-1.6201578504096181,-1.5160759387487976,-0.961280817936552,-0.10408191166082048,0.001,-0.07953898222119449,10.0,0.0,1.0,0.0,0
18657000000,1849,18657000000,,-1.6201578504096181,-1.5250516204533318,-0.8469723471531367,-0.09510622995628637,0.001,-0.10409037430868295,10.0,0.0,1.0,0.0,0
18667000000,1850,18667000000,,-1.6201578504096181,-1.5329402533236918,-0.7428371374629845,-0.08721759708592636,0.001,-0.12933908393614857,10.0,0.0,1.0,0.0,0
18677000000,1851,18677000000,,-1.6201578504096181,-1.5398427308540183,-0.6486998852872657,-0.08031511955559978,0.001,-0.154451452844242,10.0,0.0,1.0,0.0,0
18687000000,1852,18687000000,,-1.6201578504096181,-1.5458573893534604,-0.5642418598003074,-0.07430046105615773,0.001,-0.17876282805222132,10.0,0.0,1.0,0.0,0
