%time,field.header.seq,field.header.stamp,field.header.frame_id,field.set_point,field.process_value,field.process_value_dot,field.error,field.time_step,field.command,field.p,field.i,field.d,field.i_clamp,field.antiwindup
24395000000,2423,24395000000,,0.0,-0.002881613423006968,-0.4884637109354203,0.002881613423006968,0.001,0.5172798360046471,10.0,0.0,1.0,0.0,0
24405000000,2424,24405000000,,0.0,-0.008792867309372454,-0.645540560194637,0.008792867309372454,0.001,0.7334692123892772,10.0,0.0,1.0,0.0,0
24415000000,2425,24415000000,,0.0,-0.015527795543382794,-0.6879247016093438,0.015527795543382794,0.001,0.843202631351101,10.0,0.0,1.0,0.0,0
24425000000,2426,24425000000,,0.0,-0.022466878858026007,-0.695992680992983,0.022466878858026007,0.001,0.9206614426071269,10.0,0.0,1.0,0.0,0
24435000000,2427,24435000000,,0.0,-0.029407794083038397,-0.6912531557103128,0.029407794083038397,0.001,0.9853310698821005,10.0,0.0,1.0,0.0,0
24445000000,2428,24445000000,,0.0,-0.03626129014289603,-0.6796894450977157,0.03626129014289603,0.001,1.0423023210275772,10.0,0.0,1.0,0.0,0
24455000000,2429,24455000000,,0.0,-0.0429712545767611,-0.6632280374943466,0.0429712545767611,0.001,1.0929405594638375,10.0,0.0,1.0,0.0,0
24465000000,2430,24465000000,,0.0,-0.049493957403779376,-0.6427524565497308,0.049493957403779376,0.001,1.1376920088536124,10.0,0.0,1.0,0.0,0
24475000000,2431,24475000000,,0.0,-0.05579276904386887,-0.6188833921429496,0.05579276904386887,0.001,1.1768110631232531,10.0,0.0,1.0,0.0,0
24485000000,2432,24485000000,,0.0,-0.06183681121849638,-0.5921708225899794,0.06183681121849638,0.001,1.2105389176890746,10.0,0.0,1.0,0.0,0
24495000000,2433,24495000000,,0.0,-0.06760053055614357,-0.5631349399565168,0.06760053055614357,0.001,1.2391402307876298,10.0,0.0,1.0,0.0,0
24505000000,2434,24505000000,,0.0,-0.0730634372196608,-0.5322705618281158,0.0730634372196608,0.001,1.262904921555279,10.0,0.0,1.0,0.0,0
24515000000,2435,24515000000,,0.0,-0.07820983790818126,-0.5000444540322353,0.07820983790818126,0.001,1.2821428227489484,10.0,0.0,1.0,0.0,0
24525000000,2436,24525000000,,0.0,-0.08302853920876352,-0.46689253807070485,0.08302853920876352,0.001,1.2971779216928248,10.0,0.0,1.0,0.0,0
24535000000,2437,24535000000,,0.0,-0.08751252888089311,-0.4332181893536887,0.08751252888089311,0.001,1.3083434713770714,10.0,0.0,1.0,0.0,0
24545000000,2438,24545000000,,0.0,-0.09165864560671011,-0.3993914820844522,0.09165864560671011,0.001,1.3159779328077192,10.0,0.0,1.0,0.0,0
24555000000,2439,24555000000,,0.0,-0.09546724476154367,-0.3657490340713132,0.09546724476154367,0.001,1.320421477556124,10.0,0.0,1.0,0.0,0
24565000000,2440,24565000000,,0.0,-0.09894186459250953,-0.3325941748207716,0.09894186459250953,0.001,1.32201281761672,10.0,0.0,1.0,0.0,0
24575000000,2441,24575000000,,0.0,-0.10208889503545393,-0.30019727037074834,0.10208889503545393,0.001,1.321086218397518,10.0,0.0,1.0,0.0,0
24585000000,2442,24585000000,,0.0,-0.10491725026191467,-0.2687961299844992,0.10491725026191467,0.001,1.3179686309079308,10.0,0.0,1.0,0.0,0
24595000000,2443,24595000000,,0.0,-0.10743804566912019,-0.2385964828969113,0.10743804566912019,0.001,1.3129769383778722,10.0,0.0,1.0,0.0,0
24605000000,2444,24605000000,,0.0,-0.10966428013181861,-0.20977255049556898,0.10966428013181861,0.001,1.3064153509672316,10.0,0.0,1.0,0.0,0
24615000000,2445,24615000000,,0.0,-0.11161052469614319,-0.18246775632773313,0.11161052469614319,0.001,1.2985730027072506,10.0,0.0,1.0,0.0,0
24625000000,2446,24625000000,,0.0,-0.11329261934275614,-0.1567956187009033,0.11329261934275614,0.001,1.2897218117370635,10.0,0.0,1.0,0.0,0
24635000000,2447,24635000000,,0.0,-0.11472737985962311,-0.13284086319615404,0.11472737985962311,0.001,1.280114661531755,10.0,0.0,1.0,0.0,0
24645000000,2448,24645000000,,0.0,-0.11593231716772756,-0.1106607790010787,0.11593231716772756,0.001,1.269983950505651,10.0,0.0,1.0,0.0,0
24655000000,2449,24655000000,,0.0,-0.11692537159323102,-0.0902868265676247,0.11692537159323102,0.001,1.2595405423830464,10.0,0.0,1.0,0.0,0
24665000000,2450,24665000000,,0.0,-0.11772466456119624,-0.07172648715530533,0.11772466456119624,0.001,1.2489731326888354,10.0,0.0,1.0,0.0,0
24675000000,2451,24675000000,,0.0,-0.11834827000331671,-0.054965329085859424,0.11834827000331671,0.001,1.2384480290627664,10.0,0.0,1.0,0.0,0
24685000000,2452,24685000000,,0.0,-0.11881400744528392,-0.03996925232764887,0.11881400744528392,0.001,1.2281093267376164,10.0,0.0,1.0,0.0,0
24695000000,2453,24695000000,,0.0,-0.11913925829860972,-0.02668686322563656,0.11913925829860972,0.001,1.2180794461765032,10.0,0.0,1.0,0.0,0
24705000000,2454,24705000000,,0.0,-0.11934080636378752,-0.015051925212005851,0.11934080636378752,0.001,1.2084599888214598,10.0,0.0,1.0,0.0,0
24715000000,2455,24715000000,,0.0,-0.11943470299534553,-0.004985829244262572,0.11943470299534553,0.001,1.1993328591713848,10.0,0.0,1.0,0.0,0
24725000000,2456,24725000000,,0.0,-0.11943615682230213,0.0035999707971018035,0.11943615682230213,0.001,1.190761597404686,10.0,0.0,1.0,0.0,0
24735000000,2457,24735000000,,0.0,-0.11935944739258186,0.01080160796004543,0.11935944739258186,0.001,1.1827928659479792,10.0,0.0,1.0,0.0,0
24745000000,2458,24745000000,,0.0,-0.11921786164411774,0.016720580675324594,0.11921786164411774,0.001,1.1754580357513777,10.0,0.0,1.0,0.0,0
24755000000,2459,24755000000,,0.0,-0.11902365171684703,0.021461694792026333,0.11902365171684703,0.001,1.16877482236581,10.0,0.0,1.0,0.0,0
24765000000,2460,24765000000,,0.0,-0.11878801231981573,0.025131195090199634,0.11878801231981573,0.001,1.1627489280998748,10.0,0.0,1.0,0.0,0
24775000000,2461,24775000000,,0.0,-0.11852107565875869,0.02783510309247779,0.11852107565875869,0.001,1.1573756534895807,10.0,0.0,1.0,0.0,0
24785000000,2462,24785000000,,0.0,-0.1182319218086425,0.029677769520324675,0.1182319218086425,0.001,1.1526414485627523,10.0,0.0,1.0,0.0,0
24795000000,2463,24795000000,,0.0,-0.11792860237431757,0.0307606422559512,0.11792860237431757,0.001,1.148525381486687,10.0,0.0,1.0,0.0,0
24805000000,2464,24805000000,,0.0,-0.11761817530904572,0.03118124446171042,0.11761817530904572,0.001,1.1450005086302362,10.0,0.0,1.0,0.0,0
24815000000,2465,24815000000,,0.0,-0.11730674884209424,0.03103235263982606,0.11730674884209424,0.001,1.1420351357840364,10.0,0.0,1.0,0.0,0
24825000000,2466,24825000000,,0.0,-0.1169995325892188,0.030401360878199807,0.1169995325892188,0.001,1.139593965018122,10.0,0.0,1.0,0.0,0
24835000000,2467,24835000000,,0.0,-0.11670089407115203,0.0293698152069897,0.11670089407115203,0.001,1.1376391255094465,10.0,0.0,1.0,0.0,0
24845000000,2468,24845000000,,0.0,-0.11641441903379146,0.028013100704070593,0.11641441903379146,0.001,1.136131089641026,10.0,0.0,1.0,0.0,0
24855000000,2469,24855000000,,0.0,-0.11614297414037544,0.02640026356016157,0.11614297414037544,0.001,1.1350294778515924,10.0,0.0,1.0,0.0,0
24865000000,2470,24865000000,,0.0,-0.11588877078316884,0.02459395052100897,0.11588877078316884,0.001,1.1342937573182255,10.0,0.0,1.0,0.0,0
24875000000,2471,24875000000,,0.0,-0.11565342893442931,0.02265044882715652,0.11565342893442931,0.001,1.1338838405264084,10.0,0.0,1.0,0.0,0
24885000000,2472,24885000000,,0.0,-0.11543804011996883,0.020619810767621215,0.11543804011996883,0.001,1.133760590441284,10.0,0.0,1.0,0.0,0
24895000000,2473,24895000000,,0.0,-0.11524322875097681,0.01854604816597164,0.11524322875097681,0.001,1.1338862393538918,10.0,0.0,1.0,0.0,0
24905000000,2474,24905000000,,0.0,-0.11506921118947133,0.016467383410003675,0.11506921118947133,0.001,1.1342247284938267,10.0,0.0,1.0,0.0,0
24915000000,2475,24915000000,,0.0,-0.11491585204947175,0.014416544950006332,0.11491585204947175,0.001,1.1347419755546628,10.0,0.0,1.0,0.0,0
24925000000,2476,24925000000,,0.0,-0.11478271734951306,0.012421096484294333,0.11478271734951306,0.001,1.1354060770202068,10.0,0.0,1.0,0.0,0
24935000000,2477,24935000000,,0.0,-0.11466912423319453,0.01050379028080767,0.11466912423319453,0.001,1.136187452060602,10.0,0.0,1.0,0.0,0
24945000000,2478,24945000000,,0.0,-0.11457418706338451,0.00868293625247914,0.11457418706338451,0.001,1.1370589343909465,10.0,0.0,1.0,0.0,0
24955000000,2479,24955000000,,0.0,-0.11449685977363,0.006972779478225691,0.11449685977363,0.001,1.137995818266928,10.0,0.0,1.0,0.0,0
24965000000,2480,24965000000,,0.0,-0.11443597442778408,0.005383879860392111,0.11443597442778408,0.001,1.138975864426568,10.0,0.0,1.0,0.0,0
24975000000,2481,24975000000,,0.0,-0.11439027599689133,0.00392348852203056,0.11439027599689133,0.001,1.139979271455278,10.0,0.0,1.0,0.0,0
24985000000,2482,24985000000,,0.0,-0.11435845341169681,0.002595916381364848,0.11435845341169681,0.001,1.1409886177444406,10.0,0.0,1.0,0.0,0
24995000000,2483,24995000000,,0.0,-0.11433916699048474,0.0014028911026512617,0.11433916699048474,0.001,1.1419887788108873,10.0,0.0,1.0,0.0,0
25005000000,2484,25005000000,,0.0,-0.11433107237617968,0.00034389930886252816,0.11433107237617968,0.001,1.1429668244598723,10.0,0.0,1.0,0.0,0
25015000000,2485,25015000000,,0.0,-0.1143328411442166,-0.0005834884254644636,0.1143328411442166,0.001,1.1439118998748476,10.0,0.0,1.0,0.0,0
25025000000,2486,25025000000,,0.0,-0.11434317826439866,-0.0013833117253500146,0.11434317826439866,0.001,1.1448150943740387,10.0,0.0,1.0,0.0,0
