%time,field.header.seq,field.header.stamp,field.header.frame_id,field.set_point,field.process_value,field.process_value_dot,field.error,field.time_step,field.command,field.p,field.i,field.d,field.i_clamp,field.antiwindup
12782000000,1264,12781000000,,0.0,-0.00012182791381842861,-0.08301392915196436,0.00012182791381842861,0.001,0.29176758881999376,10.0,3.0,3.5,5.0,0
12791000000,1265,12791000000,,0.0,-0.0014925228207083308,-1.2910275036086012,0.0014925228207083308,0.001,4.533544558943224,10.0,3.0,3.5,5.0,0
12801000000,1266,12801000000,,0.0,-0.003260041993035756,-1.340968603233872,0.003260041993035756,0.001,4.7260701505884795,10.0,3.0,3.5,5.0,0
12811000000,1267,12811000000,,0.0,-0.00528571228814112,-1.3683332675531934,0.00528571228814112,0.001,4.842217621821413,10.0,3.0,3.5,5.0,0
12821000000,1268,12821000000,,0.0,-0.008232475106172643,-1.451845121611517,0.008232475106172643,0.001,5.164161949217904,10.0,3.0,3.5,5.0,0
12831000000,1269,12831000000,,0.0,-0.011775688531639794,-1.4637537244969978,0.011775688531639794,0.001,5.241560807493105,10.0,3.0,3.5,5.0,0
12841000000,1270,12841000000,,0.0,-0.015848750442938098,-1.5561310946495355,0.015848750442938098,0.001,5.606018723479332,10.0,3.0,3.5,5.0,0
12851000000,1271,12851000000,,0.0,-0.01979307982263201,-1.4566776534055321,0.01979307982263201,0.001,5.297893574696354,10.0,3.0,3.5,5.0,0
12861000000,1272,12861000000,,0.0,-0.024063138340911117,-1.5565385836303243,0.024063138340911117,0.001,5.690765711069895,10.0,3.0,3.5,5.0,0
12871000000,1273,12871000000,,0.0,-0.02796641344791162,-1.4396226354840032,0.02796641344791162,0.001,5.321355110061323,10.0,3.0,3.5,5.0,0
12881000000,1274,12881000000,,0.0,-0.0321159422976649,-1.5358518848680298,0.0321159422976649,0.001,5.700557314325695,10.0,3.0,3.5,5.0,0
12891000000,1275,12891000000,,0.0,-0.03584278370445659,-1.4140284967946037,0.03584278370445659,0.001,5.312443299800234,10.0,3.0,3.5,5.0,0
12901000000,1276,12901000000,,0.0,-0.03979024971089462,-1.5084735306244978,0.03979024971089462,0.001,5.683614923263098,10.0,3.0,3.5,5.0,0
12911000000,1277,12911000000,,0.0,-0.043302609165001726,-1.3859935893599178,0.043302609165001726,0.001,5.29128350859044,10.0,3.0,3.5,5.0,0
12921000000,1278,12921000000,,0.0,-0.04702740936461147,-1.479139774567554,0.04702740936461147,0.001,5.65590372085953,10.0,3.0,3.5,5.0,0
12931000000,1279,12931000000,,0.0,-0.050319728668241304,-1.3575915841498432,0.050319728668241304,0.001,5.264845616325391,10.0,3.0,3.5,5.0,0
12941000000,1280,12941000000,,0.0,-0.05382209045678277,-1.4496573307527336,0.05382209045678277,0.001,5.623667308724485,10.0,3.0,3.5,5.0,0
12951000000,1281,12951000000,,0.0,-0.05689962862347908,-1.3296335497854899,0.05689962862347908,0.001,5.235996609802422,10.0,3.0,3.5,5.0,0
12961000000,1282,12961000000,,0.0,-0.06018652833910565,-1.4206870340309568,0.06018652833910565,0.001,5.589314767364629,10.0,3.0,3.5,5.0,0
12971000000,1283,12971000000,,0.0,-0.06305798102207305,-1.3024435699463595,0.06305798102207305,0.001,5.2060016734045185,10.0,3.0,3.5,5.0,0
12981000000,1284,12981000000,,0.0,-0.0661385927566176,-1.392536508943645,0.0661385927566176,0.001,5.554076256538171,10.0,3.0,3.5,5.0,0
12991000000,1285,12991000000,,0.0,-0.06881362334366337,-1.2761826075267466,0.06881362334366337,0.001,5.17558781394145,10.0,3.0,3.5,5.0,0
13001000000,1286,13001000000,,0.0,-0.07169768235818008,-1.3653555457990043,0.07169768235818008,0.001,5.518645945950844,10.0,3.0,3.5,5.0,0
13011000000,1287,13011000000,,0.0,-0.07418606913067638,-1.250935680521088,0.07418606913067638,0.001,5.14522417007943,10.0,3.0,3.5,5.0,0
13021000000,1288,13021000000,,0.0,-0.07688333338999787,-1.339232895290563,0.07688333338999787,0.001,5.483506915388174,10.0,3.0,3.5,5.0,0
13031000000,1289,13031000000,,0.0,-0.07919467775453892,-1.2267525662338186,0.07919467775453892,0.001,5.1152561747421865,10.0,3.0,3.5,5.0,0
13041000000,1290,13041000000,,0.0,-0.08171471702324062,-1.3142198360689517,0.08171471702324062,0.001,5.4490085999313,10.0,3.0,3.5,5.0,0
13051000000,1291,13051000000,,0.0,-0.08385833591176528,-1.203659619763229,0.08385833591176528,0.001,5.085943710795069,10.0,3.0,3.5,5.0,0
13061000000,1292,13061000000,,0.0,-0.08621045175454523,-1.2903447824304382,0.08621045175454523,0.001,5.4154160102368225,10.0,3.0,3.5,5.0,0
13071000000,1293,13071000000,,0.0,-0.08819533637056765,-1.181667005251157,0.08819533637056765,0.001,5.0574851720547604,10.0,3.0,3.5,5.0,0
13081000000,1294,13081000000,,0.0,-0.09038852230446803,-1.2676184298009552,0.09038852230446803,0.001,5.382926893864663,10.0,3.0,3.5,5.0,0
13091000000,1295,13091000000,,0.0,-0.09222332004932898,-1.1607721090067544,0.09222332004932898,0.001,5.03002879076596,10.0,3.0,3.5,5.0,0
13101000000,1296,13101000000,,0.0,-0.09426624102710779,-1.2460380071347972,0.09426624102710779,0.001,5.3516861934995035,10.0,3.0,3.5,5.0,0
13111000000,1297,13111000000,,0.0,-0.09595924755252927,-1.1409623434641654,0.09595924755252927,0.001,5.003682125380541,10.0,3.0,3.5,5.0,0
13121000000,1298,13121000000,,0.0,-0.09786022766651126,-1.2255899946666715,0.09786022766651126,0.001,5.321795316013814,10.0,3.0,3.5,5.0,0
13131000000,1299,13131000000,,0.0,-0.09941938396527128,-1.1222172165674678,0.09941938396527128,0.001,4.978519109171096,10.0,3.0,3.5,5.0,0
13141000000,1300,13141000000,,0.0,-0.10118639993459944,-1.2062525086240967,0.10118639993459944,0.001,5.293320343594309,10.0,3.0,3.5,5.0,0
13151000000,1301,13151000000,,0.0,-0.10261929285326854,-1.1045101197616667,0.10261929285326854,0.001,4.954586205690793,10.0,3.0,3.5,5.0,0
13161000000,1302,13161000000,,0.0,-0.10425997153114963,-1.1879972017831701,0.10425997153114963,0.001,5.266298624354316,10.0,3.0,3.5,5.0,0
13171000000,1303,13171000000,,0.0,-0.10557383686842314,-1.0878098011748878,0.10557383686842314,0.001,4.931907528495669,10.0,3.0,3.5,5.0,0
13181000000,1304,13181000000,,0.0,-0.10709545610975724,-1.170790880501754,0.10709545610975724,0.001,5.240744430233752,10.0,3.0,3.5,5.0,0
13191000000,1305,13191000000,,0.0,-0.10829718385437559,-1.072081610588645,0.10829718385437559,0.001,4.910489217553829,10.0,3.0,3.5,5.0,0
13201000000,1306,13201000000,,0.0,-0.10970667610350127,-1.1545968343069275,0.10970667610350127,0.001,5.216653657739961,10.0,3.0,3.5,5.0,0
13211000000,1307,13211000000,,0.0,-0.11080281743623921,-1.0572885295385237,0.11080281743623921,0.001,4.89032310901941,10.0,3.0,3.5,5.0,0
13221000000,1308,13221000000,,0.0,-0.11210677556707971,-1.13937593696087,0.11210677556707971,0.001,5.1940077696390965,10.0,3.0,3.5,5.0,0
13231000000,1309,13231000000,,0.0,-0.1131035513084111,-1.0433920217910482,0.1131035513084111,0.001,4.871389814169809,10.0,3.0,3.5,5.0,0
13241000000,1310,13241000000,,0.0,-0.1143082362751997,-1.1250875441329407,0.1143082362751997,0.001,5.172777058118772,10.0,3.0,3.5,5.0,0
13251000000,1311,13251000000,,0.0,-0.11521154648452558,-1.030352726528922,0.11521154648452558,0.001,4.853661278473558,10.0,3.0,3.5,5.0,0
13261000000,1312,13261000000,,0.0,-0.11632289640418225,-1.1116902212134543,0.11632289640418225,0.001,5.152923340227871,10.0,3.0,3.5,5.0,0
13271000000,1313,13271000000,,0.0,-0.11713833086721248,-1.0181310184979593,0.11713833086721248,0.001,4.837102899290864,10.0,3.0,3.5,5.0,0
13281000000,1314,13281000000,,0.0,-0.11816197119645189,-1.0991423266093672,0.11816197119645189,0.001,5.134402168469509,10.0,3.0,3.5,5.0,0
13291000000,1315,13291000000,,0.0,-0.11889482056583933,-1.0066874552320804,0.11889482056583933,0.001,4.821675267121086,10.0,3.0,3.5,5.0,0
13301000000,1316,13301000000,,0.0,-0.11983607508346772,-1.0874024745123043,0.11983607508346772,0.001,5.1171646353726965,10.0,3.0,3.5,5.0,0
13311000000,1317,13311000000,,0.0,-0.1204913424675329,-0.9959831296598183,0.1204913424675329,0.001,4.807335589572093,10.0,3.0,3.5,5.0,0
13321000000,1318,13321000000,,0.0,-0.12135524481384952,-1.076429897097554,0.12135524481384952,0.001,5.101158837375026,10.0,3.0,3.5,5.0,0
13331000000,1319,13331000000,,0.0,-0.12193765763687736,-0.9859799437294594,0.12193765763687736,0.001,4.794038848524119,10.0,3.0,3.5,5.0,0
13341000000,1320,13341000000,,0.0,-0.12272896320151894,-1.0661847236320101,0.12272896320151894,0.001,5.086331055504762,10.0,3.0,3.5,5.0,0
13351000000,1321,13351000000,,0.0,-0.12324298518589849,-0.9766408166134185,0.12324298518589849,0.001,4.781738734405938,10.0,3.0,3.5,5.0,0
13361000000,1322,13361000000,,0.0,-0.12396618317002783,-1.0566281910671307,0.12396618317002783,0.001,5.072626700547349,10.0,3.0,3.5,5.0,0
13371000000,1323,13371000000,,0.0,-0.12441602631533488,-0.9679298389591005,0.12441602631533488,0.001,4.770388394875706,10.0,3.0,3.5,5.0,0
13381000000,1324,13381000000,,0.0,-0.1250753518251102,-1.0477227985682747,0.1250753518251102,0.001,5.0599910637970105,10.0,3.0,3.5,5.0,0
13391000000,1325,13391000000,,0.0,-0.12546498828109787,-0.959812382948665,0.12546498828109787,0.001,4.759941029425836,10.0,3.0,3.5,5.0,0
13401000000,1326,13401000000,,0.0,-0.12606443433605286,-1.0394324163041977,0.12606443433605286,0.001,5.048369907081355,10.0,3.0,3.5,5.0,0
13411000000,1327,13411000000,,0.0,-0.12639760808629408,-0.9522551763286979,0.12639760808629408,0.001,4.75035035662895,10.0,3.0,3.5,5.0,0
13421000000,1328,13421000000,,0.0,-0.12694093744957424,-1.0317223571856524,0.12694093744957424,0.001,5.0377099209433105,10.0,3.0,3.5,5.0,0
13431000000,1329,13431000000,,0.0,-0.12722117573933822,-0.9452263472906738,0.12722117573933822,0.001,4.741570976351699,10.0,3.0,3.5,5.0,0
