%time,field.header.seq,field.header.stamp,field.header.frame_id,field.name0,field.name1,field.name2,field.position0,field.position1,field.position2,field.velocity0,field.velocity1,field.velocity2,field.effort0,field.effort1,field.effort2
11638000000,11392,11633000000,,base_to_link1,link1_to_link2,link2_to_link3,0.0,0.0,0.0,5.270380042056968e-16,-1.60845739612933e-16,4.255159628046693e-16,5.270380042056771e-16,-1.6084573961312547e-16,4.2551596280454626e-16
11638000000,11393,11634000000,,base_to_link1,link1_to_link2,link2_to_link3,-9.041727056668947e-05,1.4645322519157844e-06,-1.6449846391708434e-06,-0.09041727041005321,0.0014643310854775648,-0.0016449839573940727,-5.270380042056968e-16,1.60845739612933e-16,-4.255159628046693e-16
11638000000,11394,11635000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.0002576638567877154,-2.5940081780362334e-06,3.465686551074043e-06,-0.16724658649422333,-0.004057972044212535,0.005110667922004654,0.0913214431157201,-0.0014789764079967227,0.0016614338037857811
11638000000,11395,11636000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.0004912139889174938,-1.6119636105926816e-05,1.753600800213917e-05,-0.23355013327872903,-0.013525923496010561,0.014070323637603053,0.16982322506210049,0.004083912125992897,-0.005145324787515395
11638000000,11396,11637000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.0007824589191134379,-4.157590038822434e-05,4.020945033644807e-05,-0.2912449323076041,-0.025456300589644168,0.02267344278160671,0.23846227316790397,0.01368711985706983,-0.014245683717624445
11638000000,11397,11638000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.001124127565022448,-8.065114206701196e-05,7.016364438872102e-05,-0.34166864918328843,-0.0390752377232237,0.02995419409171335,0.2990695214987385,0.02587205959352641,-0.02307553728497119
11639000000,11398,11639000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.00150996819187732,-0.0001345903049276842,0.00010579927399589906,-0.38584063147837194,-0.05393913917797731,0.035635629737453656,0.3529099248335129,0.03988174914389382,-0.03065583053560056
11640000000,11399,11640000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.0019345538659560901,-0.0002043545931371682,0.00014552811172574565,-0.42458568017178155,-0.06976424903651315,0.039728838117208745,0.40094031339714514,0.05528504222725415,-0.036693622477412646
11641000000,11400,11641000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.0023931497023710335,-0.00029070362790761806,0.0001878846322354022,-0.458595844037025,-0.08634898220092854,0.042356521213888484,0.44393121883134246,0.07180779496788484,-0.0411841192344662
11642000000,11401,11642000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.0028816133957896284,-0.0003942415304241109,0.00023156101672672236,-0.48846370258152066,-0.10353783773252136,0.043676385562889795,0.48252734106073536,0.08925601848000472,-0.044235367536242506
11643000000,11402,11643000000,,base_to_link1,link1_to_link2,link2_to_link3,-0.0033963155782323895,-0.0005154457430354142,0.00027540986301666237,-0.514702193112542,-0.12120413665850205,0.043848847767587004,0.5172798365394169,0.10748025303676247,-0.04599199573015702
